'lastfm controller calls during last 300s: 7', 'spotify controller calls during last 300s: 2', 'musicbrainz controller calls during last 20s: 1', 'SIMILAR_ARTIST waiting for start condition', 'SIMILAR_TRACK waiting for start condition', 'TOPTRACKS waiting for start condition', 'TOPALBUMS waiting for start condition', 'TOPTAGS_ARTIST waiting for start condition', 'TOPTAGS_ALBUM waiting for start condition', 'TOPTAGS_TRACK waiting for start condition', 'MBINFO_ALBUM waiting for start condition', 'SPOTIFYID ALBUM waiting for start condition', 'SPOTIFYID TRACK waiting for start condition' 
'lastfm controller calls during last 300s: 7', 'spotify controller calls during last 300s: 2', 'musicbrainz controller calls during last 20s: 1', 'SIMILAR_ARTIST finished', 'SIMILAR_TRACK finished', 'TOPTRACKS sleeping', 'TOPALBUMS sleeping', 'TOPTAGS_ARTIST sleeping', 'TOPTAGS_ALBUM sleeping', 'TOPTAGS_TRACK sleeping', 'MBINFO_ALBUM sleeping', 'SPOTIFYID ALBUM sleeping', 'SPOTIFYID TRACK sleeping' 
'lastfm controller calls during last 300s: 9', 'spotify controller calls during last 300s: 4', 'musicbrainz controller calls during last 20s: 1', 'SIMILAR_ARTIST finished', 'SIMILAR_TRACK finished', 'TOPTRACKS waiting for last run', 'TOPALBUMS waiting for last run', 'TOPTAGS_ARTIST waiting for last run', 'TOPTAGS_ALBUM sleeping', 'TOPTAGS_TRACK sleeping', 'MBINFO_ALBUM sleeping', 'SPOTIFYID ALBUM sleeping', 'SPOTIFYID TRACK sleeping' 
'lastfm controller calls during last 300s: 11', 'spotify controller calls during last 300s: 6', 'musicbrainz controller calls during last 20s: 2', 'SIMILAR_ARTIST finished', 'SIMILAR_TRACK finished', 'TOPTRACKS waiting for last run', 'TOPALBUMS waiting for last run', 'TOPTAGS_ARTIST waiting for last run', 'TOPTAGS_ALBUM sleeping', 'TOPTAGS_TRACK sleeping', 'MBINFO_ALBUM sleeping', 'SPOTIFYID ALBUM sleeping', 'SPOTIFYID TRACK sleeping' 
'lastfm controller calls during last 300s: 13', 'spotify controller calls during last 300s: 8', 'musicbrainz controller calls during last 20s: 2', 'SIMILAR_ARTIST finished', 'SIMILAR_TRACK finished', 'TOPTRACKS waiting for last run', 'TOPALBUMS waiting for last run', 'TOPTAGS_ARTIST waiting for last run', 'TOPTAGS_ALBUM sleeping', 'TOPTAGS_TRACK sleeping', 'MBINFO_ALBUM sleeping', 'SPOTIFYID ALBUM sleeping', 'SPOTIFYID TRACK sleeping' 
'lastfm controller calls during last 300s: 15', 'spotify controller calls during last 300s: 10', 'musicbrainz controller calls during last 20s: 2', 'SIMILAR_ARTIST finished', 'SIMILAR_TRACK finished', 'TOPTRACKS waiting for last run', 'TOPALBUMS waiting for last run', 'TOPTAGS_ARTIST waiting for last run', 'TOPTAGS_ALBUM sleeping', 'TOPTAGS_TRACK sleeping', 'MBINFO_ALBUM sleeping', 'SPOTIFYID ALBUM sleeping', 'SPOTIFYID TRACK sleeping' 
'lastfm controller calls during last 300s: 17', 'spotify controller calls during last 300s: 12', 'musicbrainz controller calls during last 20s: 2', 'SIMILAR_ARTIST finished', 'SIMILAR_TRACK finished', 'TOPTRACKS waiting for last run', 'TOPALBUMS waiting for last run', 'TOPTAGS_ARTIST waiting for last run', 'TOPTAGS_ALBUM sleeping', 'TOPTAGS_TRACK sleeping', 'MBINFO_ALBUM sleeping', 'SPOTIFYID ALBUM sleeping', 'SPOTIFYID TRACK sleeping' 
'lastfm controller calls during last 300s: 19', 'spotify controller calls during last 300s: 14', 'musicbrainz controller calls during last 20s: 2', 'SIMILAR_ARTIST finished', 'SIMILAR_TRACK finished', 'TOPTRACKS waiting for last run', 'TOPALBUMS waiting for last run', 'TOPTAGS_ARTIST waiting for last run', 'TOPTAGS_ALBUM sleeping', 'TOPTAGS_TRACK sleeping', 'MBINFO_ALBUM sleeping', 'SPOTIFYID ALBUM sleeping', 'SPOTIFYID TRACK sleeping' 
'lastfm controller calls during last 300s: 22', 'spotify controller calls during last 300s: 14', 'musicbrainz controller calls during last 20s: 1', 'SIMILAR_ARTIST finished', 'SIMILAR_TRACK finished', 'TOPTRACKS finished', 'TOPALBUMS finished', 'TOPTAGS_ARTIST finished', 'TOPTAGS_ALBUM waiting for last run', 'TOPTAGS_TRACK waiting for last run', 'MBINFO_ALBUM waiting for last run', 'SPOTIFYID ALBUM waiting for last run', 'SPOTIFYID TRACK waiting for last run' 
'lastfm controller calls during last 300s: 22', 'spotify controller calls during last 300s: 14', 'musicbrainz controller calls during last 20s: 0', 'SIMILAR_ARTIST finished', 'SIMILAR_TRACK finished', 'TOPTRACKS finished', 'TOPALBUMS finished', 'TOPTAGS_ARTIST finished', 'TOPTAGS_ALBUM waiting for last run', 'TOPTAGS_TRACK waiting for last run', 'MBINFO_ALBUM waiting for last run', 'SPOTIFYID ALBUM waiting for last run', 'SPOTIFYID TRACK waiting for last run' 
'lastfm controller calls during last 300s: 22', 'spotify controller calls during last 300s: 14', 'musicbrainz controller calls during last 20s: 0', 'SIMILAR_ARTIST finished', 'SIMILAR_TRACK finished', 'TOPTRACKS finished', 'TOPALBUMS finished', 'TOPTAGS_ARTIST finished', 'TOPTAGS_ALBUM waiting for last run', 'TOPTAGS_TRACK waiting for last run', 'MBINFO_ALBUM waiting for last run', 'SPOTIFYID ALBUM waiting for last run', 'SPOTIFYID TRACK waiting for last run' 
'lastfm controller calls during last 300s: 22', 'spotify controller calls during last 300s: 14', 'musicbrainz controller calls during last 20s: 0', 'SIMILAR_ARTIST finished', 'SIMILAR_TRACK finished', 'TOPTRACKS finished', 'TOPALBUMS finished', 'TOPTAGS_ARTIST finished', 'TOPTAGS_ALBUM waiting for last run', 'TOPTAGS_TRACK waiting for last run', 'MBINFO_ALBUM waiting for last run', 'SPOTIFYID ALBUM waiting for last run', 'SPOTIFYID TRACK waiting for last run' 
'lastfm controller calls during last 300s: 22', 'spotify controller calls during last 300s: 14', 'musicbrainz controller calls during last 20s: 0', 'SIMILAR_ARTIST finished', 'SIMILAR_TRACK finished', 'TOPTRACKS finished', 'TOPALBUMS finished', 'TOPTAGS_ARTIST finished', 'TOPTAGS_ALBUM waiting for last run', 'TOPTAGS_TRACK waiting for last run', 'MBINFO_ALBUM waiting for last run', 'SPOTIFYID ALBUM waiting for last run', 'SPOTIFYID TRACK waiting for last run' 
'lastfm controller calls during last 300s: 22', 'spotify controller calls during last 300s: 14', 'musicbrainz controller calls during last 20s: 0', 'SIMILAR_ARTIST finished', 'SIMILAR_TRACK finished', 'TOPTRACKS finished', 'TOPALBUMS finished', 'TOPTAGS_ARTIST finished', 'TOPTAGS_ALBUM waiting for last run', 'TOPTAGS_TRACK waiting for last run', 'MBINFO_ALBUM waiting for last run', 'SPOTIFYID ALBUM waiting for last run', 'SPOTIFYID TRACK waiting for last run' 
